,n,T,PCO,iso_index,rseed,mu_mean,nCO_mean,GCN,CN1,CN2,ratio_surface,total_top,total_bridge,total_hollow,total_sites,occ_top,occ_bridge,occ_hollow,Z_pos
0,14,200,1.00E-15,0,0,-2.020269544,0.714285714,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0,0.642857143,0.071428571,17.70784143
0,14,200,1.00E-15,0,1,-2.161573319,0.857142857,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.071428571,0.571428571,0.214285714,17.83394479
0,14,200,1.00E-15,0,2,-2.044556084,0.928571428,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.214285714,0.5,0.214285714,17.80969414
0,14,200,1.00E-13,0,0,-2.076961382,0.714285714,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0,0.642857143,0.071428571,17.70784143
0,14,200,1.00E-13,0,1,-2.229603524,0.857142857,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.071428571,0.571428571,0.214285714,17.83394479
0,14,200,1.00E-13,0,2,-2.118255473,0.928571429,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.214285714,0.5,0.214285714,17.80969414
0,14,200,1.00E-11,0,0,-2.133653219,0.714285714,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0,0.642857143,0.071428571,17.70784143
0,14,200,1.00E-11,0,1,-2.297633729,0.857142857,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.071428571,0.571428571,0.214285714,17.83394479
0,14,200,1.00E-11,0,2,-2.191954807,0.928571966,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.214285714,0.5,0.214285714,17.80969414
0,14,200,1.00E-09,0,0,-2.190345057,0.714285714,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0,0.642857143,0.071428571,17.70784143
0,14,200,1.00E-09,0,1,-2.365663934,0.857142857,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.071428571,0.571428571,0.214285714,17.83394479
0,14,200,1.00E-09,0,2,-2.265543081,0.933566796,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.214285714,0.5,0.214285714,17.80969414
0,14,200,1.00E-07,0,0,-2.247036894,0.714285714,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0,0.642857143,0.071428571,17.70784143
0,14,200,1.00E-07,0,1,-2.433694139,0.857142857,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.071428571,0.571428571,0.214285714,17.83394479
0,14,200,1.00E-07,0,2,-2.343427798,0.999905134,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.285714286,0.5,0.214285714,17.73486358
0,14,200,1.00E-05,0,0,-2.303728731,0.714285714,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0,0.642857143,0.071428571,17.70784143
0,14,200,1.00E-05,0,1,-2.501724344,0.857142857,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.071428571,0.571428571,0.214285714,17.83394479
0,14,200,1.00E-05,0,2,-2.422801788,0.999999991,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.285714286,0.5,0.214285714,17.73486358
0,14,200,0.001,0,0,-2.360420569,0.714285714,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0,0.642857143,0.071428571,17.70784143
0,14,200,0.001,0,1,-2.569754549,0.857142857,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.071428571,0.571428571,0.214285714,17.83394479
0,14,200,0.001,0,2,-2.502170361,1,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.285714286,0.5,0.214285714,17.73486358
0,14,200,0.1,0,0,-2.417112406,0.714285714,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0,0.642857143,0.071428571,17.70784143
0,14,200,0.1,0,1,-2.637784753,0.857142857,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.071428571,0.571428571,0.214285714,17.83394479
0,14,200,0.1,0,2,-2.581538934,1,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.285714286,0.5,0.214285714,17.73486358
0,14,200,10,0,0,-2.473804244,0.714285714,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0,0.642857143,0.071428571,17.70784143
0,14,200,10,0,1,-2.705814958,0.857142857,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.071428571,0.571428571,0.214285714,17.83394479
0,14,200,10,0,2,-2.660907506,1,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.285714286,0.5,0.214285714,17.73486358
0,14,200,1000,0,0,-2.530496081,0.714285714,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0,0.642857143,0.071428571,17.70784143
0,14,200,1000,0,1,-2.773845163,0.857142857,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.071428571,0.571428571,0.214285714,17.83394479
0,14,200,1000,0,2,-2.740276079,1,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.285714286,0.5,0.214285714,17.73486358
0,14,275,1.00E-15,0,0,-1.860486064,0.855855379,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.214285714,0.428571429,0.214285714,17.86547063
0,14,275,1.00E-15,0,1,-1.970165448,0.857142857,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.071428571,0.571428571,0.214285714,17.83394479
0,14,275,1.00E-15,0,2,-1.840242997,0.858118429,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.142857143,0.5,0.214285714,17.89699647
0,14,275,1.00E-13,0,0,-1.95408769,0.857142726,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.214285714,0.428571429,0.214285714,17.86547063
0,14,275,1.00E-13,0,1,-2.06370698,0.857142857,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.071428571,0.571428571,0.214285714,17.83394479
0,14,275,1.00E-13,0,2,-1.938500464,0.928059291,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.214285714,0.5,0.214285714,17.80969414
0,14,275,1.00E-11,0,0,-2.047629242,0.857142857,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.214285714,0.428571429,0.214285714,17.86547063
0,14,275,1.00E-11,0,1,-2.157248512,0.857142857,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.071428571,0.571428571,0.214285714,17.83394479
0,14,275,1.00E-11,0,2,-2.039870867,0.928571377,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.214285714,0.5,0.214285714,17.80969414
0,14,275,1.00E-09,0,0,-2.141170774,0.857142857,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.214285714,0.428571429,0.214285714,17.86547063
0,14,275,1.00E-09,0,1,-2.250790044,0.857142857,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.071428571,0.571428571,0.214285714,17.83394479
0,14,275,1.00E-09,0,2,-2.141207515,0.928571564,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.214285714,0.5,0.214285714,17.80969414
0,14,275,1.00E-07,0,0,-2.234712306,0.857142857,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.214285714,0.428571429,0.214285714,17.86547063
0,14,275,1.00E-07,0,1,-2.344331575,0.857142857,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.071428571,0.571428571,0.214285714,17.83394479
0,14,275,1.00E-07,0,2,-2.242482659,0.929876757,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.214285714,0.5,0.214285714,17.80969414
0,14,275,1.00E-05,0,0,-2.328253837,0.857142857,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.214285714,0.428571429,0.214285714,17.86547063
0,14,275,1.00E-05,0,1,-2.437873107,0.857142857,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.071428571,0.571428571,0.214285714,17.83394479
0,14,275,1.00E-05,0,2,-2.34828502,0.999618331,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.285714286,0.5,0.214285714,17.73486358
0,14,275,0.001,0,0,-2.421795369,0.857142857,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.214285714,0.428571429,0.214285714,17.86547063
0,14,275,0.001,0,1,-2.531414639,0.857142857,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.071428571,0.571428571,0.214285714,17.83394479
0,14,275,0.001,0,2,-2.457440461,0.999999962,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.285714286,0.5,0.214285714,17.73486358
0,14,275,0.1,0,0,-2.515336901,0.857142857,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.214285714,0.428571429,0.214285714,17.86547063
0,14,275,0.1,0,1,-2.624956171,0.857142857,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.071428571,0.571428571,0.214285714,17.83394479
0,14,275,0.1,0,2,-2.566572254,1,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.285714286,0.5,0.214285714,17.73486358
0,14,275,10,0,0,-2.608878433,0.857142857,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.214285714,0.428571429,0.214285714,17.86547063
0,14,275,10,0,1,-2.718497703,0.857142857,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.071428571,0.571428571,0.214285714,17.83394479
0,14,275,10,0,2,-2.675704041,1,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.285714286,0.5,0.214285714,17.73486358
0,14,275,1000,0,0,-2.702419965,0.857142857,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.214285714,0.428571429,0.214285714,17.86547063
0,14,275,1000,0,1,-2.812039234,0.857142857,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.071428571,0.571428571,0.214285714,17.83394479
0,14,275,1000,0,2,-2.784835828,1,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.285714286,0.5,0.214285714,17.73486358
0,14,350,1.00E-15,0,0,-1.681753742,0.785714906,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.142857143,0.428571429,0.214285714,17.96578012
0,14,350,1.00E-15,0,1,-1.778757578,0.857142857,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.071428571,0.571428571,0.214285714,17.83394479
0,14,350,1.00E-15,0,2,-1.649920991,0.807834289,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.071428571,0.5,0.214285714,18.00017195
0,14,350,1.00E-13,0,0,-1.790670453,0.791418702,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.142857143,0.428571429,0.214285714,17.96578012
0,14,350,1.00E-13,0,1,-1.897810436,0.857142857,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.071428571,0.571428571,0.214285714,17.83394479
0,14,350,1.00E-13,0,2,-1.767928133,0.857138104,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.142857143,0.5,0.214285714,17.89699647
0,14,350,1.00E-11,0,0,-1.907235708,0.857060655,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.214285714,0.428571429,0.214285714,17.86547063
0,14,350,1.00E-11,0,1,-2.016863295,0.857142857,3.300252525,5.377777778,1.144444444,0.928571429,0.928571429,2.071428571,1.285714286,60,0.071428571,0.571428571,0.214285714,17.83394479
