,i,dt,mu_val,mu_cur,co_config,event name
0,140,2.6659046682374492e-14,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,141,155463920392643.56,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,142,1.498019102142351e-14,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,143,51220381638451.445,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,144,2.2796481279684065e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,145,22713650802528.285,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,146,9.816557499139838e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,147,225486993060370.66,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,148,1.9090949045765445e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,149,92605014152165.4,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,150,1.053919956240719e-14,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,151,160081347493614.44,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,152,1.8270350563433614e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,153,94302128424074.75,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,154,5.254369869578994e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,155,851569580690382.2,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,156,3.3405041574092516e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,157,71498029562058.95,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,158,4.1667326838513594e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,159,6701853090014.413,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,160,9.474488027333515e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,161,311587306886337.0,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,162,1.8810455404945224e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,163,68342684231362.92,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,164,3.4110139959219077e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,165,5937781665670.515,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,166,8.059002427513514e-16,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,167,1808757155151.7195,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,168,5.808275470872996e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,169,383438256465285.44,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,170,1.046095065251142e-14,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,171,194127447733364.78,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,172,2.1933690996271277e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,173,103954175993829.72,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,174,1.8863861582633647e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,175,235032708924525.84,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,176,1.2292082992152325e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,177,375276509669726.1,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,178,1.1068311814275074e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,179,235058342266534.6,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,180,7.638564289428907e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,181,125986094243332.02,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,182,1.0157272318638786e-14,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,183,72148857432250.16,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
