,n,T,PCO,iso_index,rseed,mu_mean,nCO_mean,GCN,CN1,CN2,ratio_surface,total_top,total_bridge,total_hollow,total_sites,occ_top,occ_bridge,occ_hollow,Z_pos
0,20,300,1.00E-15,0,0,-1.94489772,0.950000232,4.608993157,5.494623656,1.741935484,0.85,0.85,1.65,0.6,62,0.1,0.6,0.25,17.91690753
0,20,300,1.00E-15,0,1,-1.894218507,0.85,4.608993157,5.494623656,1.741935484,0.85,0.85,1.65,0.6,62,0,0.75,0.1,17.89699647
0,20,300,1.00E-15,0,2,-1.96644143,0.950101509,4.608993157,5.494623656,1.741935484,0.85,0.85,1.65,0.6,62,0.1,0.7,0.15,17.79744118
0,20,300,1.00E-13,0,0,-2.057907202,0.952221058,4.608993157,5.494623656,1.741935484,0.85,0.85,1.65,0.6,62,0.1,0.6,0.25,17.91690753
0,20,300,1.00E-13,0,1,-1.995413437,0.85,4.608993157,5.494623656,1.741935484,0.85,0.85,1.65,0.6,62,0,0.75,0.1,17.89699647
0,20,300,1.00E-13,0,2,-2.081846426,0.997627578,4.608993157,5.494623656,1.741935484,0.85,0.85,1.65,0.6,62,0.15,0.7,0.15,17.74567244
0,20,300,1.00E-11,0,0,-2.174999017,0.999892672,4.608993157,5.494623656,1.741935484,0.85,0.85,1.65,0.6,62,0.15,0.6,0.25,17.85916546
0,20,300,1.00E-11,0,1,-2.096608366,0.85,4.608993157,5.494623656,1.741935484,0.85,0.85,1.65,0.6,62,0,0.75,0.1,17.89699647
0,20,300,1.00E-11,0,2,-2.20101369,0.999999751,4.608993157,5.494623656,1.741935484,0.85,0.85,1.65,0.6,62,0.15,0.7,0.15,17.74567244
0,20,300,1.00E-09,0,0,-2.294060265,0.999999989,4.608993157,5.494623656,1.741935484,0.85,0.85,1.65,0.6,62,0.15,0.6,0.25,17.85916546
0,20,300,1.00E-09,0,1,-2.197803296,0.85,4.608993157,5.494623656,1.741935484,0.85,0.85,1.65,0.6,62,0,0.75,0.1,17.89699647
0,20,300,1.00E-09,0,2,-2.320066591,1,4.608993157,5.494623656,1.741935484,0.85,0.85,1.65,0.6,62,0.15,0.7,0.15,17.74567244
0,20,300,1.00E-07,0,0,-2.413113125,1,4.608993157,5.494623656,1.741935484,0.85,0.85,1.65,0.6,62,0.15,0.6,0.25,17.85916546
0,20,300,1.00E-07,0,1,-2.298998226,0.85,4.608993157,5.494623656,1.741935484,0.85,0.85,1.65,0.6,62,0,0.75,0.1,17.89699647
0,20,300,1.00E-07,0,2,-2.439119449,1,4.608993157,5.494623656,1.741935484,0.85,0.85,1.65,0.6,62,0.15,0.7,0.15,17.74567244
