,n,T,PCO,iso_index,rseed,mu_mean,nCO_mean,GCN,CN1,CN2,ratio_surface,total_top,total_bridge,total_hollow,total_sites,occ_top,occ_bridge,occ_hollow,Z_pos
0,7,300,1.00E-15,0,0,-1.962677594,0.857142857,1.11151841,4.204301075,0.559139785,1,1,2,1.428571429,31,0,0.857142857,0,17.51868639
0,7,300,1.00E-15,0,1,-1.962677594,0.857142857,1.11151841,4.204301075,0.559139785,1,1,2,1.428571429,31,0,0.857142857,0,17.51868639
0,7,300,1.00E-15,0,2,-1.962677594,0.857142857,1.11151841,4.204301075,0.559139785,1,1,2,1.428571429,31,0,0.857142857,0,17.51868639
0,7,300,1.00E-13,0,0,-2.064722902,0.857142857,1.11151841,4.204301075,0.559139785,1,1,2,1.428571429,31,0,0.857142857,0,17.51868639
0,7,300,1.00E-13,0,1,-2.064722902,0.857142857,1.11151841,4.204301075,0.559139785,1,1,2,1.428571429,31,0,0.857142857,0,17.51868639
0,7,300,1.00E-13,0,2,-2.064722902,0.857142857,1.11151841,4.204301075,0.559139785,1,1,2,1.428571429,31,0,0.857142857,0,17.51868639
0,7,300,1.00E-11,0,0,-2.166768209,0.857142857,1.11151841,4.204301075,0.559139785,1,1,2,1.428571429,31,0,0.857142857,0,17.51868639
0,7,300,1.00E-11,0,1,-2.166768209,0.857142857,1.11151841,4.204301075,0.559139785,1,1,2,1.428571429,31,0,0.857142857,0,17.51868639
0,7,300,1.00E-11,0,2,-2.166768209,0.857142857,1.11151841,4.204301075,0.559139785,1,1,2,1.428571429,31,0,0.857142857,0,17.51868639
0,7,300,1.00E-09,0,0,-2.268813517,0.857142857,1.11151841,4.204301075,0.559139785,1,1,2,1.428571429,31,0,0.857142857,0,17.51868639
0,7,300,1.00E-09,0,1,-2.268813517,0.857142857,1.11151841,4.204301075,0.559139785,1,1,2,1.428571429,31,0,0.857142857,0,17.51868639
0,7,300,1.00E-09,0,2,-2.268813517,0.857142857,1.11151841,4.204301075,0.559139785,1,1,2,1.428571429,31,0,0.857142857,0,17.51868639
0,7,300,1.00E-07,0,0,-2.370858824,0.857142857,1.11151841,4.204301075,0.559139785,1,1,2,1.428571429,31,0,0.857142857,0,17.51868639
0,7,300,1.00E-07,0,1,-2.370858824,0.857142857,1.11151841,4.204301075,0.559139785,1,1,2,1.428571429,31,0,0.857142857,0,17.51868639
0,7,300,1.00E-07,0,2,-2.370858824,0.857142857,1.11151841,4.204301075,0.559139785,1,1,2,1.428571429,31,0,0.857142857,0,17.51868639
0,7,300,1.00E-05,0,0,-2.472904132,0.857142857,1.11151841,4.204301075,0.559139785,1,1,2,1.428571429,31,0,0.857142857,0,17.51868639
0,7,300,1.00E-05,0,1,-2.472904132,0.857142857,1.11151841,4.204301075,0.559139785,1,1,2,1.428571429,31,0,0.857142857,0,17.51868639
0,7,300,1.00E-05,0,2,-2.472904132,0.857142857,1.11151841,4.204301075,0.559139785,1,1,2,1.428571429,31,0,0.857142857,0,17.51868639
0,7,300,0.001,0,0,-2.574949439,0.857142857,1.11151841,4.204301075,0.559139785,1,1,2,1.428571429,31,0,0.857142857,0,17.51868639
0,7,300,0.001,0,1,-2.574949439,0.857142857,1.11151841,4.204301075,0.559139785,1,1,2,1.428571429,31,0,0.857142857,0,17.51868639
0,7,300,0.001,0,2,-2.574949439,0.857142857,1.11151841,4.204301075,0.559139785,1,1,2,1.428571429,31,0,0.857142857,0,17.51868639
0,7,300,0.1,0,0,-2.676994746,0.857142857,1.11151841,4.204301075,0.559139785,1,1,2,1.428571429,31,0,0.857142857,0,17.51868639
0,7,300,0.1,0,1,-2.676994746,0.857142857,1.11151841,4.204301075,0.559139785,1,1,2,1.428571429,31,0,0.857142857,0,17.51868639
0,7,300,0.1,0,2,-2.676994746,0.857142857,1.11151841,4.204301075,0.559139785,1,1,2,1.428571429,31,0,0.857142857,0,17.51868639
0,7,300,10,0,0,-2.779040054,0.857142857,1.11151841,4.204301075,0.559139785,1,1,2,1.428571429,31,0,0.857142857,0,17.51868639
0,7,300,10,0,1,-2.779040054,0.857142857,1.11151841,4.204301075,0.559139785,1,1,2,1.428571429,31,0,0.857142857,0,17.51868639
0,7,300,10,0,2,-2.779040054,0.857142857,1.11151841,4.204301075,0.559139785,1,1,2,1.428571429,31,0,0.857142857,0,17.51868639
0,7,300,1000,0,0,-2.881085361,0.857142857,1.11151841,4.204301075,0.559139785,1,1,2,1.428571429,31,0,0.857142857,0,17.51868639
0,7,300,1000,0,1,-2.881085361,0.857142857,1.11151841,4.204301075,0.559139785,1,1,2,1.428571429,31,0,0.857142857,0,17.51868639
0,7,300,1000,0,2,-2.881085361,0.857142857,1.11151841,4.204301075,0.559139785,1,1,2,1.428571429,31,0,0.857142857,0,17.51868639
0,7,300,1.00E-15,1,0,-1.542839066,0.857142857,1.201561065,4.393939394,0.893939394,1,1,2.142857143,1.571428571,33,0.142857143,0.571428571,0.142857143,17.64478975
0,7,300,1.00E-15,1,1,-1.633989321,0.857142857,1.201561065,4.393939394,0.893939394,1,1,2.142857143,1.571428571,33,0.142857143,0.428571429,0.285714286,17.58173807
0,7,300,1.00E-15,1,2,-1.646740876,0.857142857,1.201561065,4.393939394,0.893939394,1,1,2.142857143,1.571428571,33,0.142857143,0.571428571,0.142857143,17.58173807
0,7,300,1.00E-13,1,0,-1.644884373,0.857142857,1.201561065,4.393939394,0.893939394,1,1,2.142857143,1.571428571,33,0.142857143,0.571428571,0.142857143,17.64478975
0,7,300,1.00E-13,1,1,-1.736034628,0.857142857,1.201561065,4.393939394,0.893939394,1,1,2.142857143,1.571428571,33,0.142857143,0.428571429,0.285714286,17.58173807
0,7,300,1.00E-13,1,2,-1.748786184,0.857142857,1.201561065,4.393939394,0.893939394,1,1,2.142857143,1.571428571,33,0.142857143,0.571428571,0.142857143,17.58173807
0,7,300,1.00E-11,1,0,-1.746929681,0.857142857,1.201561065,4.393939394,0.893939394,1,1,2.142857143,1.571428571,33,0.142857143,0.571428571,0.142857143,17.64478975
0,7,300,1.00E-11,1,1,-1.838079936,0.857142857,1.201561065,4.393939394,0.893939394,1,1,2.142857143,1.571428571,33,0.142857143,0.428571429,0.285714286,17.58173807
0,7,300,1.00E-11,1,2,-1.850831491,0.857142857,1.201561065,4.393939394,0.893939394,1,1,2.142857143,1.571428571,33,0.142857143,0.571428571,0.142857143,17.58173807
0,7,300,1.00E-09,1,0,-1.848974988,0.857142857,1.201561065,4.393939394,0.893939394,1,1,2.142857143,1.571428571,33,0.142857143,0.571428571,0.142857143,17.64478975
0,7,300,1.00E-09,1,1,-1.940125243,0.857142857,1.201561065,4.393939394,0.893939394,1,1,2.142857143,1.571428571,33,0.142857143,0.428571429,0.285714286,17.58173807
0,7,300,1.00E-09,1,2,-1.952876798,0.857142857,1.201561065,4.393939394,0.893939394,1,1,2.142857143,1.571428571,33,0.142857143,0.571428571,0.142857143,17.58173807
0,7,300,1.00E-07,1,0,-1.951020296,0.857142857,1.201561065,4.393939394,0.893939394,1,1,2.142857143,1.571428571,33,0.142857143,0.571428571,0.142857143,17.64478975
0,7,300,1.00E-07,1,1,-2.042170551,0.857142857,1.201561065,4.393939394,0.893939394,1,1,2.142857143,1.571428571,33,0.142857143,0.428571429,0.285714286,17.58173807
0,7,300,1.00E-07,1,2,-2.054922106,0.857142857,1.201561065,4.393939394,0.893939394,1,1,2.142857143,1.571428571,33,0.142857143,0.571428571,0.142857143,17.58173807
0,7,300,1.00E-05,1,0,-2.053065603,0.857142857,1.201561065,4.393939394,0.893939394,1,1,2.142857143,1.571428571,33,0.142857143,0.571428571,0.142857143,17.64478975
0,7,300,1.00E-05,1,1,-2.144215858,0.857142857,1.201561065,4.393939394,0.893939394,1,1,2.142857143,1.571428571,33,0.142857143,0.428571429,0.285714286,17.58173807
0,7,300,1.00E-05,1,2,-2.156967413,0.857142857,1.201561065,4.393939394,0.893939394,1,1,2.142857143,1.571428571,33,0.142857143,0.571428571,0.142857143,17.58173807
0,7,300,0.001,1,0,-2.155110911,0.857142857,1.201561065,4.393939394,0.893939394,1,1,2.142857143,1.571428571,33,0.142857143,0.571428571,0.142857143,17.64478975
0,7,300,0.001,1,1,-2.246261165,0.857142857,1.201561065,4.393939394,0.893939394,1,1,2.142857143,1.571428571,33,0.142857143,0.428571429,0.285714286,17.58173807
