,n,T,PCO,iso_index,rseed,mu_mean,nCO_mean,GCN,CN1,CN2,ratio_surface,total_top,total_bridge,total_hollow,total_sites,occ_top,occ_bridge,occ_hollow,Z_pos
0,16,300,1.00E-15,0,0,-1.902075802,0.875,4.066591844,5.351851852,1.570987654,0.875,0.875,1.75,0.75,54,0.0625,0.625,0.1875,17.81593002
0,16,300,1.00E-15,0,1,-1.926889278,0.875,4.066591844,5.351851852,1.570987654,0.875,0.875,1.75,0.75,54,0.0625,0.6875,0.125,17.84295217
0,16,300,1.00E-15,0,2,-1.874787523,0.876258395,4.066591844,5.351851852,1.570987654,0.875,0.875,1.75,0.75,54,0.125,0.5625,0.25,17.8717758
0,16,300,1.00E-13,0,0,-2.006247053,0.875,4.066591844,5.351851852,1.570987654,0.875,0.875,1.75,0.75,54,0.0625,0.625,0.1875,17.81593002
0,16,300,1.00E-13,0,1,-2.031060529,0.875,4.066591844,5.351851852,1.570987654,0.875,0.875,1.75,0.75,54,0.0625,0.6875,0.125,17.84295217
0,16,300,1.00E-13,0,2,-1.97910859,0.876258395,4.066591844,5.351851852,1.570987654,0.875,0.875,1.75,0.75,54,0.125,0.5625,0.25,17.8717758
0,16,300,1.00E-11,0,0,-2.110418305,0.875,4.066591844,5.351851852,1.570987654,0.875,0.875,1.75,0.75,54,0.0625,0.625,0.1875,17.81593002
0,16,300,1.00E-11,0,1,-2.13523178,0.875,4.066591844,5.351851852,1.570987654,0.875,0.875,1.75,0.75,54,0.0625,0.6875,0.125,17.84295217
0,16,300,1.00E-11,0,2,-2.083429657,0.876258395,4.066591844,5.351851852,1.570987654,0.875,0.875,1.75,0.75,54,0.125,0.5625,0.25,17.8717758
0,16,300,1.00E-09,0,0,-2.214589556,0.875,4.066591844,5.351851852,1.570987654,0.875,0.875,1.75,0.75,54,0.0625,0.625,0.1875,17.81593002
0,16,300,1.00E-09,0,1,-2.239403032,0.875,4.066591844,5.351851852,1.570987654,0.875,0.875,1.75,0.75,54,0.0625,0.6875,0.125,17.84295217
0,16,300,1.00E-09,0,2,-2.187750724,0.876258395,4.066591844,5.351851852,1.570987654,0.875,0.875,1.75,0.75,54,0.125,0.5625,0.25,17.8717758
0,16,300,1.00E-07,0,0,-2.318760807,0.875,4.066591844,5.351851852,1.570987654,0.875,0.875,1.75,0.75,54,0.0625,0.625,0.1875,17.81593002
0,16,300,1.00E-07,0,1,-2.343574283,0.875,4.066591844,5.351851852,1.570987654,0.875,0.875,1.75,0.75,54,0.0625,0.6875,0.125,17.84295217
0,16,300,1.00E-07,0,2,-2.292071791,0.876258395,4.066591844,5.351851852,1.570987654,0.875,0.875,1.75,0.75,54,0.125,0.5625,0.25,17.8717758
0,16,300,1.00E-05,0,0,-2.422932059,0.875,4.066591844,5.351851852,1.570987654,0.875,0.875,1.75,0.75,54,0.0625,0.625,0.1875,17.81593002
0,16,300,1.00E-05,0,1,-2.447745534,0.875,4.066591844,5.351851852,1.570987654,0.875,0.875,1.75,0.75,54,0.0625,0.6875,0.125,17.84295217
0,16,300,1.00E-05,0,2,-2.396392858,0.876258395,4.066591844,5.351851852,1.570987654,0.875,0.875,1.75,0.75,54,0.125,0.5625,0.25,17.8717758
0,16,300,0.001,0,0,-2.52710331,0.875,4.066591844,5.351851852,1.570987654,0.875,0.875,1.75,0.75,54,0.0625,0.625,0.1875,17.81593002
0,16,300,0.001,0,1,-2.551916786,0.875,4.066591844,5.351851852,1.570987654,0.875,0.875,1.75,0.75,54,0.0625,0.6875,0.125,17.84295217
0,16,300,0.001,0,2,-2.500713924,0.876258395,4.066591844,5.351851852,1.570987654,0.875,0.875,1.75,0.75,54,0.125,0.5625,0.25,17.8717758
0,16,300,0.1,0,0,-2.631274561,0.875,4.066591844,5.351851852,1.570987654,0.875,0.875,1.75,0.75,54,0.0625,0.625,0.1875,17.81593002
0,16,300,0.1,0,1,-2.656088037,0.875,4.066591844,5.351851852,1.570987654,0.875,0.875,1.75,0.75,54,0.0625,0.6875,0.125,17.84295217
0,16,300,0.1,0,2,-2.605034991,0.876258395,4.066591844,5.351851852,1.570987654,0.875,0.875,1.75,0.75,54,0.125,0.5625,0.25,17.8717758
0,16,300,10,0,0,-2.735445813,0.875,4.066591844,5.351851852,1.570987654,0.875,0.875,1.75,0.75,54,0.0625,0.625,0.1875,17.81593002
0,16,300,10,0,1,-2.760259288,0.875,4.066591844,5.351851852,1.570987654,0.875,0.875,1.75,0.75,54,0.0625,0.6875,0.125,17.84295217
0,16,300,10,0,2,-2.709356058,0.876258395,4.066591844,5.351851852,1.570987654,0.875,0.875,1.75,0.75,54,0.125,0.5625,0.25,17.8717758
0,16,300,1000,0,0,-2.839617064,0.875,4.066591844,5.351851852,1.570987654,0.875,0.875,1.75,0.75,54,0.0625,0.625,0.1875,17.81593002
0,16,300,1000,0,1,-2.86443054,0.875,4.066591844,5.351851852,1.570987654,0.875,0.875,1.75,0.75,54,0.0625,0.6875,0.125,17.84295217
0,16,300,1000,0,2,-2.813677125,0.876258395,4.066591844,5.351851852,1.570987654,0.875,0.875,1.75,0.75,54,0.125,0.5625,0.25,17.8717758
0,16,300,1.00E-15,1,0,-1.807374275,0.8125,4.143599456,5.371794872,1.769230769,0.875,0.875,1.6875,0.6875,52,0,0.6875,0.125,17.89699647
