Unnamed: 0,n,T,PCO,iso_index,rseed,mu_mean,nCO_mean,GCN,CN1,CN2,ratio_surface,total_top,total_bridge,total_hollow,total_sites,occ_top,occ_bridge,occ_hollow,Z_pos
0,2,300,1e-09,0,2,-1.067761914,0.5,0.0,1.0,0.0,1.0,1.0,0.5,0.0,3,0.0,0.5,0.0,16.76206622
0,2,300,1e-07,0,0,-1.127288344,0.5,0.0,1.0,0.0,1.0,1.0,0.5,0.0,3,0.0,0.5,0.0,16.76206622
0,2,300,1e-07,0,1,-1.127288344,0.5,0.0,1.0,0.0,1.0,1.0,0.5,0.0,3,0.0,0.5,0.0,16.76206622
0,2,300,1e-07,0,2,-1.127288344,0.5,0.0,1.0,0.0,1.0,1.0,0.5,0.0,3,0.0,0.5,0.0,16.76206622
0,2,300,1e-05,0,0,-1.186814773,0.5,0.0,1.0,0.0,1.0,1.0,0.5,0.0,3,0.0,0.5,0.0,16.76206622
0,2,300,1e-05,0,1,-1.186814773,0.5,0.0,1.0,0.0,1.0,1.0,0.5,0.0,3,0.0,0.5,0.0,16.76206622
0,2,300,1e-05,0,2,-1.186814773,0.5,0.0,1.0,0.0,1.0,1.0,0.5,0.0,3,0.0,0.5,0.0,16.76206622
0,2,300,0.001,0,0,-1.246341202,0.5,0.0,1.0,0.0,1.0,1.0,0.5,0.0,3,0.0,0.5,0.0,16.76206622
0,2,300,0.001,0,1,-1.246341202,0.5,0.0,1.0,0.0,1.0,1.0,0.5,0.0,3,0.0,0.5,0.0,16.76206622
0,2,300,0.001,0,2,-1.246341202,0.5,0.0,1.0,0.0,1.0,1.0,0.5,0.0,3,0.0,0.5,0.0,16.76206622
0,2,300,0.1,0,0,-1.305867632,0.5,0.0,1.0,0.0,1.0,1.0,0.5,0.0,3,0.0,0.5,0.0,16.76206622
0,2,300,0.1,0,1,-1.305867632,0.5,0.0,1.0,0.0,1.0,1.0,0.5,0.0,3,0.0,0.5,0.0,16.76206622
0,2,300,0.1,0,2,-1.305867632,0.5,0.0,1.0,0.0,1.0,1.0,0.5,0.0,3,0.0,0.5,0.0,16.76206622
0,2,300,10.0,0,0,-1.365394061,0.5,0.0,1.0,0.0,1.0,1.0,0.5,0.0,3,0.0,0.5,0.0,16.76206622
0,2,300,10.0,0,1,-1.365394061,0.5,0.0,1.0,0.0,1.0,1.0,0.5,0.0,3,0.0,0.5,0.0,16.76206622
0,2,300,10.0,0,2,-1.365394061,0.5,0.0,1.0,0.0,1.0,1.0,0.5,0.0,3,0.0,0.5,0.0,16.76206622
0,2,300,1000.0,0,0,-1.42492049,0.5,0.0,1.0,0.0,1.0,1.0,0.5,0.0,3,0.0,0.5,0.0,16.76206622
0,2,300,1000.0,0,1,-1.42492049,0.5,0.0,1.0,0.0,1.0,1.0,0.5,0.0,3,0.0,0.5,0.0,16.76206622
0,2,300,1000.0,0,2,-1.42492049,0.5,0.0,1.0,0.0,1.0,1.0,0.5,0.0,3,0.0,0.5,0.0,16.76206622
0,3,300,1e-15,0,0,-1.261306683,0.666666667,0.19047619,2.0,0.0,1.0,1.0,1.0,0.333333333,7,0.333333333,0.333333333,0.0,16.76206622
0,3,300,1e-15,0,1,-1.261306683,0.666666667,0.19047619,2.0,0.0,1.0,1.0,1.0,0.333333333,7,0.333333333,0.333333333,0.0,16.76206622
0,3,300,1e-15,0,2,-1.261306683,0.666666667,0.19047619,2.0,0.0,1.0,1.0,1.0,0.333333333,7,0.333333333,0.333333333,0.0,16.76206622
0,3,300,1e-13,0,0,-1.340675256,0.666666667,0.19047619,2.0,0.0,1.0,1.0,1.0,0.333333333,7,0.333333333,0.333333333,0.0,16.76206622
0,3,300,1e-13,0,1,-1.340675256,0.666666667,0.19047619,2.0,0.0,1.0,1.0,1.0,0.333333333,7,0.333333333,0.333333333,0.0,16.76206622
0,3,300,1e-13,0,2,-1.340675256,0.666666667,0.19047619,2.0,0.0,1.0,1.0,1.0,0.333333333,7,0.333333333,0.333333333,0.0,16.76206622
