,n,T,PCO,iso_index,rseed,mu_mean,nCO_mean,GCN,CN1,CN2,ratio_surface,total_top,total_bridge,total_hollow,total_sites,occ_top,occ_bridge,occ_hollow,Z_pos
0,15,300,1.00E-15,0,0,-1.913699189,0.933333178,3.572317377,5.555555556,1.15942029,0.933333333,0.933333333,2.2,1.466666667,69,0.133333333,0.466666667,0.333333333,17.84295217
0,15,300,1.00E-15,0,1,-1.920440152,0.86666652,3.572317377,5.555555556,1.15942029,0.933333333,0.933333333,2.2,1.466666667,69,0.133333333,0.533333333,0.2,17.83879492
0,15,300,1.00E-15,0,2,-1.837926256,0.866664029,3.572317377,5.555555556,1.15942029,0.933333333,0.933333333,2.2,1.466666667,69,0.2,0.466666667,0.2,17.89699647
0,15,300,1.00E-13,0,0,-2.024815217,0.933333333,3.572317377,5.555555556,1.15942029,0.933333333,0.933333333,2.2,1.466666667,69,0.133333333,0.466666667,0.333333333,17.84295217
0,15,300,1.00E-13,0,1,-2.023619322,0.866666667,3.572317377,5.555555556,1.15942029,0.933333333,0.933333333,2.2,1.466666667,69,0.133333333,0.533333333,0.2,17.83879492
0,15,300,1.00E-13,0,2,-1.941105738,0.866666691,3.572317377,5.555555556,1.15942029,0.933333333,0.933333333,2.2,1.466666667,69,0.2,0.466666667,0.2,17.89699647
0,15,300,1.00E-11,0,0,-2.135931218,0.933333333,3.572317377,5.555555556,1.15942029,0.933333333,0.933333333,2.2,1.466666667,69,0.133333333,0.466666667,0.333333333,17.84295217
0,15,300,1.00E-11,0,1,-2.126798466,0.866666667,3.572317377,5.555555556,1.15942029,0.933333333,0.933333333,2.2,1.466666667,69,0.133333333,0.533333333,0.2,17.83879492
0,15,300,1.00E-11,0,2,-2.044267327,0.866905879,3.572317377,5.555555556,1.15942029,0.933333333,0.933333333,2.2,1.466666667,69,0.2,0.466666667,0.2,17.89699647
0,15,300,1.00E-09,0,0,-2.24704722,0.933333333,3.572317377,5.555555556,1.15942029,0.933333333,0.933333333,2.2,1.466666667,69,0.133333333,0.466666667,0.333333333,17.84295217
0,15,300,1.00E-09,0,1,-2.22997761,0.866666667,3.572317377,5.555555556,1.15942029,0.933333333,0.933333333,2.2,1.466666667,69,0.133333333,0.533333333,0.2,17.83879492
0,15,300,1.00E-09,0,2,-2.150425081,0.931532073,3.572317377,5.555555556,1.15942029,0.933333333,0.933333333,2.2,1.466666667,69,0.266666667,0.466666667,0.2,17.81593002
0,15,300,1.00E-07,0,0,-2.358163221,0.933333333,3.572317377,5.555555556,1.15942029,0.933333333,0.933333333,2.2,1.466666667,69,0.133333333,0.466666667,0.333333333,17.84295217
0,15,300,1.00E-07,0,1,-2.333156754,0.866666667,3.572317377,5.555555556,1.15942029,0.933333333,0.933333333,2.2,1.466666667,69,0.133333333,0.533333333,0.2,17.83879492
0,15,300,1.00E-07,0,2,-2.261623278,0.933333148,3.572317377,5.555555556,1.15942029,0.933333333,0.933333333,2.2,1.466666667,69,0.266666667,0.466666667,0.2,17.81593002
0,15,300,1.00E-05,0,0,-2.469279222,0.933333333,3.572317377,5.555555556,1.15942029,0.933333333,0.933333333,2.2,1.466666667,69,0.133333333,0.466666667,0.333333333,17.84295217
0,15,300,1.00E-05,0,1,-2.436335898,0.866666667,3.572317377,5.555555556,1.15942029,0.933333333,0.933333333,2.2,1.466666667,69,0.133333333,0.533333333,0.2,17.83879492
0,15,300,1.00E-05,0,2,-2.37273931,0.933333333,3.572317377,5.555555556,1.15942029,0.933333333,0.933333333,2.2,1.466666667,69,0.266666667,0.466666667,0.2,17.81593002
0,15,300,0.001,0,0,-2.580395224,0.933333333,3.572317377,5.555555556,1.15942029,0.933333333,0.933333333,2.2,1.466666667,69,0.133333333,0.466666667,0.333333333,17.84295217
0,15,300,0.001,0,1,-2.539515042,0.866666667,3.572317377,5.555555556,1.15942029,0.933333333,0.933333333,2.2,1.466666667,69,0.133333333,0.533333333,0.2,17.83879492
0,15,300,0.001,0,2,-2.483855311,0.933333333,3.572317377,5.555555556,1.15942029,0.933333333,0.933333333,2.2,1.466666667,69,0.266666667,0.466666667,0.2,17.81593002
0,15,300,0.1,0,0,-2.691511225,0.933333333,3.572317377,5.555555556,1.15942029,0.933333333,0.933333333,2.2,1.466666667,69,0.133333333,0.466666667,0.333333333,17.84295217
0,15,300,0.1,0,1,-2.642694187,0.866666667,3.572317377,5.555555556,1.15942029,0.933333333,0.933333333,2.2,1.466666667,69,0.133333333,0.533333333,0.2,17.83879492
0,15,300,0.1,0,2,-2.594971313,0.933333333,3.572317377,5.555555556,1.15942029,0.933333333,0.933333333,2.2,1.466666667,69,0.266666667,0.466666667,0.2,17.81593002
0,15,300,10,0,0,-2.802627227,0.933333333,3.572317377,5.555555556,1.15942029,0.933333333,0.933333333,2.2,1.466666667,69,0.133333333,0.466666667,0.333333333,17.84295217
0,15,300,10,0,1,-2.745873331,0.866666667,3.572317377,5.555555556,1.15942029,0.933333333,0.933333333,2.2,1.466666667,69,0.133333333,0.533333333,0.2,17.83879492
0,15,300,10,0,2,-2.706087314,0.933333333,3.572317377,5.555555556,1.15942029,0.933333333,0.933333333,2.2,1.466666667,69,0.266666667,0.466666667,0.2,17.81593002
0,15,300,1000,0,0,-2.913743228,0.933333333,3.572317377,5.555555556,1.15942029,0.933333333,0.933333333,2.2,1.466666667,69,0.133333333,0.466666667,0.333333333,17.84295217
0,15,300,1000,0,1,-2.849052475,0.866666667,3.572317377,5.555555556,1.15942029,0.933333333,0.933333333,2.2,1.466666667,69,0.133333333,0.533333333,0.2,17.83879492
0,15,300,1000,0,2,-2.817203316,0.933333333,3.572317377,5.555555556,1.15942029,0.933333333,0.933333333,2.2,1.466666667,69,0.266666667,0.466666667,0.2,17.81593002
0,15,300,1.00E-15,1,0,-1.967834019,1.185114471,3.529308234,5.535353535,1.310606061,0.933333333,0.933333333,2.133333333,1.333333333,66,0.333333333,0.333333333,0.533333333,18.0020826
0,15,300,1.00E-15,1,1,-1.908398843,0.866761693,3.529308234,5.535353535,1.310606061,0.933333333,0.933333333,2.133333333,1.333333333,66,0.133333333,0.533333333,0.2,17.83879492
