Filename,AtomsObject,Eads,NPd,SiteType,RealSite,CN1,CN2,GCN,Z,Charge,Nsites,Pd1C,Pd2C,Pd3C,CeCN1,OCN1
pd13-ceria-a2.CONTCAR,"Atoms(symbols='CCe32O65Pd13', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-1.29,13,top,top,3.0,0.0,4.0,5.910666565592229,0.12,1,1.8828702606644443,3.230118915586815,4.257744761886427,1.0,2.0
pd13-ceria-co-CONTCAR,"Atoms(symbols='CCe32O65Pd13', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.38,13,hollow,hollow,4.632397640468812,0.654324585394007,2.5454545454545454,6.469538576095794,0.09300000000000001,3,1.9939999025626616,2.0006346423952936,2.1315938510798844,0.9931723539675892,1.360774713498777
pd14-ceria-a1.CONTCAR,"Atoms(symbols='CCe32O65Pd14', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.19,14,bridge,bridge,6.0,1.5,3.5555555555555554,7.848686670698719,-0.02,2,1.9764953447114826,1.9899883373770795,3.284108352065909,0.0,0.0
pd14-ceria-a2.CONTCAR,"Atoms(symbols='CCe32O65Pd14', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-1.39,14,top,top,3.0,0.0,4.083333333333333,5.947192665183289,0.18,1,1.8794637309873776,3.419796312046408,4.379126242428665,3.0,3.0
pd14-ceria-co-CONTCAR,"Atoms(symbols='CCe32O65Pd14', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.31,14,hollow,hollow,4.630964905186193,0.6542822356760604,2.8181818181818183,6.468569295969014,0.12300000000000001,3,1.9856132882944457,1.9880215114972002,2.2025563103233785,2.0043545944740355,1.7052714911298308
pd15-ceria-a1.CONTCAR,"Atoms(symbols='CCe32O65Pd15', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.4,15,bridge,bridge,6.000000000000001,1.5000000000000002,4.0,7.830599827568349,-0.027000000000000003,2,1.967445590035618,1.9938384233118847,3.1702024153607566,0.0,0.0
pd15-ceria-a2.CONTCAR,"Atoms(symbols='CCe32O65Pd15', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.36,15,bridge,bridge,3.5,0.5,3.3333333333333335,6.773209422382039,0.07,2,1.9540356981407643,1.9566730385367617,3.5701013011282523,1.5,1.5
pd15-ceria-co-CONTCAR,"Atoms(symbols='CCe32O65Pd15', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.25,15,hollow,hollow,4.648186138495785,0.6613375321642248,3.1818181818181817,6.463649994016504,0.11599999999999999,3,1.9932688728174317,1.9945374112058207,2.1121181704575225,1.992520626009334,1.680160945510437
pd16-ceria-a1.CONTCAR,"Atoms(symbols='CCe32O65Pd16', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.4,16,bridge,bridge,6.0,1.5,4.166666666666667,7.807224276867279,-0.015,2,1.9640354915885052,1.988502412098985,2.9794239478136006,0.0,0.0
pd16-ceria-a2.CONTCAR,"Atoms(symbols='CCe32O65Pd16', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.24,16,bridge,bridge,4.0,0.5000000000000001,3.5555555555555554,6.752523473896199,0.085,2,1.9564087036885414,1.968116555381593,3.7070275229009653,1.4999999999999998,1.9999999999999998
