species,m CO,Energy (eV),Eads_average,Eads_total,,,Energy (eV)
Pd15-8CO,8,-988.988825,-2.116443303,-16.93154642,,CO,-14.79
Pd15-11CO,11,-1037.759508,-1.939293543,-21.33222897,,Pd15,-853.7372786
