species,m CO,Energy (eV),Eads_average,Eads_total,,,Energy (eV)
Pd13-7CO,7,-962.4234418,-2.077062609,-14.53943826,,CO,-14.79
Pd13-10CO,10,-1010.472855,-1.821885129,-18.21885129,,Pd13,-844.3540035
